ZIP Code,Model,Strategy,Average Allocation,Minimum Allocation,Maximum Allocation,Range
91901,meta-llama/Meta-Llama-3.1-70B-Instruct,Widespread Testing Initiatives,2000,2000,2000,0
91901,meta-llama/Meta-Llama-3.1-70B-Instruct,Targeted Public Health Campaigns,1500,1500,1500,0
91901,meta-llama/Meta-Llama-3.1-70B-Instruct,Enforced Social Distancing Measures,1040,1000,1200,200
91901,meta-llama/Meta-Llama-3.1-70B-Instruct,Expansion of Healthcare Capacity,1640,1000,2000,1000
91901,meta-llama/Meta-Llama-3.1-70B-Instruct,Promotion of Home Isolation and Self-Quarantine Measures,766.6666667,500,1000,500
91901,meta-llama/Meta-Llama-3.1-70B-Instruct,Telehealth Services Expansion,900,800,1000,200
91901,meta-llama/Meta-Llama-3.1-70B-Instruct,Workplace Safety Regulations,500,500,500,0
91901,meta-llama/Meta-Llama-3.1-70B-Instruct,Community Engagement and Mobilization,700,500,1000,500
91901,meta-llama/Meta-Llama-3.1-70B-Instruct,Public Sanitation and Hygiene Campaigns,500,500,500,0
91901,meta-llama/Meta-Llama-3.1-70B-Instruct,Establishment of Quarantine and Isolation Facilities,1000,1000,1000,0
91901,meta-llama/Meta-Llama-3.1-70B-Instruct,Food Security and Nutrition Programs,500,500,500,0
91901,meta-llama/Meta-Llama-3.1-70B-Instruct,School Safety and Education Continuity Measures,500,500,500,0
91901,meta-llama/Meta-Llama-3.1-70B-Instruct,Mental Health Support Services,500,500,500,0
91901,mistralai/Mixtral-8x7B-Instruct-v0.1,Widespread Testing Initiatives,1500,1500,1500,0
91901,mistralai/Mixtral-8x7B-Instruct-v0.1,Targeted Public Health Campaigns,1000,1000,1000,0
91901,mistralai/Mixtral-8x7B-Instruct-v0.1,Enforced Social Distancing Measures,1000,1000,1000,0
91901,mistralai/Mixtral-8x7B-Instruct-v0.1,Comprehensive Contact Tracing Programs,1100,1000,1500,500
91901,mistralai/Mixtral-8x7B-Instruct-v0.1,Promotion of Home Isolation and Self-Quarantine Measures,625,500,1000,500
91901,mistralai/Mixtral-8x7B-Instruct-v0.1,School Safety and Education Continuity Measures,625,500,1000,500
91901,mistralai/Mixtral-8x7B-Instruct-v0.1,Public Transport Safety Enhancements,500,500,500,0
91901,mistralai/Mixtral-8x7B-Instruct-v0.1,Food Security and Nutrition Programs,500,500,500,0
91901,mistralai/Mixtral-8x7B-Instruct-v0.1,Community Engagement and Mobilization,500,500,500,0
91901,mistralai/Mixtral-8x7B-Instruct-v0.1,Public Sanitation and Hygiene Campaigns,500,500,500,0
91901,mistralai/Mixtral-8x7B-Instruct-v0.1,Promotion of Remote Work and Digital Transformation,500,500,500,0
91901,mistralai/Mixtral-8x7B-Instruct-v0.1,Establishment of Quarantine and Isolation Facilities,1375,500,2000,1500
91901,mistralai/Mixtral-8x7B-Instruct-v0.1,Expansion of Healthcare Capacity,2000,2000,2000,0
91901,mistralai/Mixtral-8x7B-Instruct-v0.1,Mental Health Support Services,500,500,500,0
91901,mistralai/Mixtral-8x7B-Instruct-v0.1,Economic Support Programs,1333.333333,1000,1500,500
91901,mistralai/Mixtral-8x7B-Instruct-v0.1,Telehealth Services Expansion,500,500,500,0
91901,mistralai/Mixtral-8x7B-Instruct-v0.1,Workplace Safety Regulations,500,500,500,0
91902,meta-llama/Meta-Llama-3.1-70B-Instruct,Widespread Testing Initiatives,2250,2000,3000,1000
91902,meta-llama/Meta-Llama-3.1-70B-Instruct,Advanced Vaccination Research,1500,1500,1500,0
91902,meta-llama/Meta-Llama-3.1-70B-Instruct,Targeted Public Health Campaigns,1375,1000,2000,1000
91902,meta-llama/Meta-Llama-3.1-70B-Instruct,Enforced Social Distancing Measures,1075,800,1500,700
91902,meta-llama/Meta-Llama-3.1-70B-Instruct,Comprehensive Contact Tracing Programs,1000,800,1200,400
91902,meta-llama/Meta-Llama-3.1-70B-Instruct,Expansion of Healthcare Capacity,1825,800,2500,1700
91902,meta-llama/Meta-Llama-3.1-70B-Instruct,Mental Health Support Services,600,500,800,300
91902,meta-llama/Meta-Llama-3.1-70B-Instruct,Public Transport Safety Enhancements,500,500,500,0
91902,meta-llama/Meta-Llama-3.1-70B-Instruct,Food Security and Nutrition Programs,750,500,1000,500
